Date,Buy,Sell
2022-11-30,False,False
2022-12-01,False,False
2022-12-02,False,False
2022-12-05,False,False
2022-12-06,False,False
2022-12-07,False,False
2022-12-08,False,False
2022-12-09,False,False
2022-12-13,False,False
2022-12-14,False,False
2022-12-15,False,False
2022-12-16,False,False
2022-12-19,False,False
2022-12-20,True,False
2022-12-21,False,False
2022-12-22,True,False
2022-12-23,False,False
2022-12-26,False,False
2022-12-27,False,False
2022-12-28,False,False
2022-12-29,False,False
2022-12-30,False,False
2023-01-02,True,False
2023-01-03,True,False
2023-01-04,True,False
2023-01-05,False,False
2023-01-06,False,False
2023-01-09,False,False
2023-01-10,False,True
2023-01-11,False,True
2023-01-12,False,True
2023-01-13,False,True
2023-01-16,False,True
2023-01-17,False,True
2023-01-18,False,False
2023-01-19,False,False
2023-01-20,False,True
2023-01-23,False,True
2023-01-24,False,True
2023-01-25,False,True
2023-01-26,False,True
2023-01-27,False,True
2023-01-30,False,False
2023-01-31,False,False
2023-02-01,False,False
2023-02-02,False,False
2023-02-03,False,True
2023-02-07,False,False
2023-02-08,False,False
2023-02-09,False,False
2023-02-10,True,False
2023-02-13,False,False
2023-02-14,False,False
2023-02-15,False,False
2023-02-16,False,False
2023-02-17,False,False
2023-02-20,False,False
2023-02-21,True,False
2023-02-22,True,False
2023-02-23,True,False
2023-02-24,True,False
2023-02-27,False,False
2023-02-28,False,False
2023-03-01,False,False
2023-03-02,False,False
2023-03-03,False,False
2023-03-06,False,True
2023-03-07,False,False
2023-03-08,False,True
2023-03-09,False,True
2023-03-10,False,True
2023-03-13,False,False
2023-03-14,False,True
2023-03-15,False,True
2023-03-16,False,True
2023-03-17,False,False
2023-03-21,False,True
2023-03-22,False,True
2023-03-23,False,False
2023-03-24,False,True
2023-03-27,False,True
2023-03-28,False,True
2023-03-29,False,False
2023-03-30,False,False
2023-03-31,False,False
2023-04-03,False,False
2023-04-04,False,False
2023-04-05,False,False
2023-04-10,False,False
2023-04-11,False,False
2023-04-12,False,False
2023-04-13,False,False
2023-04-14,True,False
2023-04-17,True,False
2023-04-18,True,False
2023-04-19,True,False
2023-04-20,True,False
2023-04-21,True,False
2023-04-24,True,False
2023-04-25,True,False
2023-04-26,True,False
2023-04-27,True,False
2023-04-28,True,False
2023-05-02,True,False
2023-05-03,True,False
2023-05-04,False,False
2023-05-05,False,False
2023-05-08,False,False
2023-05-09,False,False
2023-05-10,False,False
2023-05-11,False,False
2023-05-12,False,False
2023-05-15,False,False
2023-05-16,False,False
2023-05-17,False,False
2023-05-18,False,True
2023-05-19,False,True
2023-05-22,False,True
2023-05-23,False,True
2023-05-24,False,True
2023-05-25,False,False
2023-05-26,False,False
2023-05-29,False,False
2023-05-30,False,False
2023-05-31,False,False
2023-06-01,True,False
2023-06-02,True,False
2023-06-05,True,False
2023-06-06,False,False
2023-06-07,False,False
2023-06-08,False,False
2023-06-09,False,False
2023-06-12,False,False
2023-06-13,False,False
2023-06-14,False,False
2023-06-15,False,False
2023-06-16,False,False
2023-06-19,False,False
2023-06-20,False,False
2023-06-21,False,False
2023-06-22,False,False
2023-06-23,False,False
2023-06-26,False,False
2023-06-27,False,True
2023-06-28,False,False
2023-06-29,False,False
